Approximate location,Precise location,Name,Email address,User IDs,Address,Phone number,Race and ethnicity,Political or religious beliefs,Sexual orientation,Other info,User payment info,Purchase history,Credit score,Other financial info,Health info,Fitness info,Emails,SMS or MMS,Other in-app messages,Photos,Videos,Voice or sound recordings,Music files,Other audio files,Files and docs,Calendar,Contacts,App interactions,In-app search history,Installed apps,Other user-generated content,Other actions,Web browsing history,Crash logs,Diagnostics,Other app performance data,Device or other IDs,App Name,Genre,,
0.625,0.25,0.25,0.125,0.625,0,0.25,0.125,0.125,0.25,0.25,0.25,0.25,0,0,0,0,0.125,0,0.25,0.25,0.125,0.125,0,0.125,0,0,0,0.625,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.625,Bumble - Dating. Friends. Bizz,Dating,,
0,0,0.125,0.125,0.25,0,0.125,0.125,0.125,0,0.125,0,0,0,0,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0,0,0.125,0,0.125,0.125,0,0.625,0,0,0.625,Galachat: Chat Rooms & Date,Dating,,
0,0.125,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,LP: Dating Video Chat Live,Dating,,
0.75,0.75,0.125,0.125,0.25,0,0,0,0.125,0,0.125,0,0.25,0,0,0,0,0,0,0.25,0.125,0,0,0,0,0,0,0,0.25,0.25,0,0.125,0,0,0.25,0.25,0.25,0.75,Dating and Chat - SweetMeet,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Sexy Girls Live Video Call App,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,लड़कियों से बात करने वाला ऐप्स,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Girls online Video Call Chat,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ladki se Baat Karne Wala App,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ladki Se Baat Karne Wala App,Dating,,
0,0.125,0.25,0.125,0.25,0,0.125,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.125,iris: Your personal Dating AI,Dating,,
